feature,normal_mean,normal_std,abnormal_mean,abnormal_std,mean_diff,mean_diff_pct,t_statistic,p_value,cohens_d,significant,large_effect
Gyro_Y_std,0.4583970692444151,0.22203981334161277,0.6986969055619185,0.5218735477096703,-0.24029983631750346,-34.39257200148113,-7.035689197871961,7.07987961676891e-12,-0.5992033208183395,True,False
acc_Y_skewness,-0.2374155181596957,0.3048754548192798,-0.05126578819884639,0.3030487823777067,-0.1861497299608493,363.10712563088646,-6.254624865220138,1.3554344784336632e-09,-0.612408185879187,True,False
acc_Y_rms,0.1433900927289827,0.045862349963590676,0.31898207362184744,0.5188744768698677,-0.17559198089286474,-55.04760154673415,-6.0146408729120955,4.780322713287473e-09,-0.4767245364380001,True,False
acc_Y_std,0.14168778682775635,0.04547241880703901,0.31244270364722565,0.5094678255300245,-0.1707549168194693,-54.651593660598365,-5.956013454546709,6.612068807489085e-09,-0.47211567934989485,True,False
acc_Sum_mean,0.21514312168367594,0.07341724838459275,0.3677575919128057,0.4496259076864249,-0.15261447022912977,-41.498659330278144,-5.920060804865607,7.609720560345825e-09,-0.4737460796574463,True,False
Gyro_X_std,0.466610290966071,0.22522361827613605,0.6197289289782553,0.33673280961921936,-0.15311863801218428,-24.707356854331522,-5.8696778022648735,8.780474927450034e-09,-0.5345266492647432,True,False
acc_Sum_rms,0.24455398887491417,0.08436033262401169,0.430257834746997,0.553547464364674,-0.18570384587208286,-43.161060851171165,-5.871070568661578,1.0064938879411552e-08,-0.46902428779938626,True,False
acc_X_peak,0.49112323782136363,0.1430280165875255,0.7172589443183021,0.6620780414889851,-0.22613570649693843,-31.52776389729968,-5.843575479080059,1.104930779585997e-08,-0.47213954618352194,True,False
acc_Sum_peak,0.8149160018851683,0.2909562548556025,1.3671676993741424,1.6438998378597283,-0.5522516974889741,-40.39385203013369,-5.832636180397894,1.2161429477307107e-08,-0.46781993604009464,True,False
acc_X_rms,0.12983450026014123,0.041689436081260266,0.1922466115989362,0.18311847884435756,-0.06241211133879496,-32.46460929516862,-5.802948974978746,1.3666253874852584e-08,-0.4699793364781685,True,False
acc_X_std,0.1291748869606817,0.04183719802848234,0.19079754654412287,0.18221961004493575,-0.06162265958344118,-32.29740670129143,-5.753055174386028,1.7919843904567303e-08,-0.466127685922179,True,False
acc_Y_peak,0.6832272726681928,0.2520397453854441,1.3238606911581996,1.97027554271457,-0.6406334184900068,-48.391301499369916,-5.729255671377688,2.216968815353002e-08,-0.4561136057150712,True,False
acc_Sum_std,0.11550241200851706,0.04366945185831421,0.22102687362127982,0.3244654300195057,-0.10552446161276276,-47.74281963268161,-5.7205827498103,2.3117197767519563e-08,-0.45582849272464854,True,False
acc_Z_peak,0.6005233217631619,0.2758833427652829,0.922139455039182,0.9433870038017387,-0.3216161332760201,-34.87716868836878,-5.62978514797256,3.322606711672995e-08,-0.4627472886694805,True,False
Gyro_Y_peak,1.1993670321279961,0.4864322314359934,1.8505341170175789,1.9576149226491784,-0.6511670848895827,-35.18806159267352,-5.61162265617113,3.786051525664232e-08,-0.45653113033153825,True,False
acc_Y_mean,-0.001134064952417045,0.02286396304773808,0.03532571507033838,0.11208690991893874,-0.03645978002275543,-103.21030996869834,-5.591937991213827,4.3560883997005174e-08,-0.4507353964727195,True,False
acc_Z_rms,0.1473704184463875,0.06719720662556315,0.2243512678258165,0.23390504026486222,-0.07698084937942898,-34.312642903892986,-5.449187483239407,8.708252388860525e-08,-0.4473399758858637,True,False
acc_Z_std,0.14666625881257112,0.06738505462553625,0.2235984047744887,0.23401557765210218,-0.07693214596191758,-34.406393032860805,-5.44132166421465,9.070948342975191e-08,-0.4467666212722397,True,False
Gyro_Y_rms,0.722077955248887,0.36903945216058875,1.003400251175818,0.7779295038051187,-0.28132229592693103,-28.036897100361312,-5.351075674122805,1.3640945635602889e-07,-0.4620652181584839,True,False
acc_Y_crest,4.732362672192545,0.9690805230137132,4.38253063622237,0.6413588443151899,0.3498320359701754,7.982420774854451,4.083231117676715,6.206978362096246e-05,0.42572974822428966,True,False
Gyro_X_mean,-0.32330973123783835,0.5888572933099268,-0.10853897933722523,0.5237489444524875,-0.21477075190061312,197.87430581351887,-3.86258773264613,0.00013998085029653533,-0.38540851368963547,True,False
Gyro_X_peak,1.1560175638045038,0.5070580423108375,1.377985422577813,0.7640526683051534,-0.22196785877330916,-16.10814273768378,-3.764125529206763,0.0001904163043616,-0.3423236929449935,True,False
Gyro_Z_crest,1.8618210759614708,0.25864687059495595,1.9300268570198347,0.1280734808093864,-0.06820578105836383,-3.5339291165968936,-3.104433372378043,0.002195809435738873,-0.33420352355232025,True,False
acc_X_mean,0.0023304682610880713,0.01241559580358165,0.007606347133407021,0.028760113781587607,-0.005275878872318949,-69.36153162333767,-2.7917946928872794,0.005455505775882955,-0.23818305966437647,True,False
