,acc_X_mean,acc_X_std,acc_X_rms,acc_X_peak,acc_X_crest,acc_X_kurtosis,acc_X_skewness,acc_Y_mean,acc_Y_std,acc_Y_rms,acc_Y_peak,acc_Y_crest,acc_Y_kurtosis,acc_Y_skewness,acc_Z_mean,acc_Z_std,acc_Z_rms,acc_Z_peak,acc_Z_crest,acc_Z_kurtosis
acc_X_mean,1.0,0.6380811690614823,0.6421876904977784,0.65342371802847,-0.1164021950710976,-0.001424428196285445,0.18859064195102848,0.7952212608248275,0.6229920543720622,0.6309497664830905,0.6426492915789213,-0.1226195523867954,0.13606801457822973,0.1400820798188445,0.12458709052729412,0.6300493612046754,0.6305802825053689,0.6462159969363198,-0.06200396802498219,0.18330011273037747
acc_X_std,0.6380811690614823,1.0,0.999946872524867,0.9697873897700983,-0.2076196719835508,-0.027201259820872327,0.024581342302352205,0.8077050479418919,0.919130190301725,0.9205631606118607,0.9359935224152565,-0.1459891883826687,0.17865554864310826,0.224024487753724,0.0753170563730796,0.9536918626042163,0.953846601252054,0.9699027481495606,0.05184467960168627,0.3503550978496252
acc_X_rms,0.6421876904977784,0.999946872524867,1.0,0.97041318943615,-0.20720987544201852,-0.026776673724558955,0.024895862687913134,0.8104428019631769,0.9196885941742344,0.9212281833718462,0.9365678797260687,-0.1470806870481805,0.1775505877268778,0.22505849732012373,0.07352028716242313,0.9536803785020801,0.9538388145691267,0.9700400423877616,0.051583754800309516,0.3505899259192531
acc_X_peak,0.65342371802847,0.9697873897700983,0.97041318943615,1.0,-0.04080868246333702,0.09970121981035218,0.0038863019822963523,0.7787754002261846,0.8604445261004116,0.8623557123783833,0.8824646162233336,-0.11355614197532297,0.1941217509074048,0.1930022651839578,0.12367766024070118,0.8975263445122642,0.8977299260535714,0.9389729350355897,0.11104393182239095,0.3929237531218894
acc_X_crest,-0.1164021950710976,-0.2076196719835508,-0.20720987544201852,-0.04080868246333702,1.0,0.7189819149685377,-0.27363073606196875,-0.18512359762645217,-0.22217425162591262,-0.22309596588000805,-0.21261783971725062,0.25417690075728816,0.2670276573486809,-0.13218288570041736,0.09684662219098644,-0.26057302636578716,-0.2603599573483363,-0.21195009056225844,0.21758283243818366,0.16474545520477965
acc_X_kurtosis,-0.001424428196285445,-0.027201259820872327,-0.026776673724558955,0.09970121981035218,0.7189819149685377,1.0,-0.34269214424783523,-0.05720604522344565,-0.06456272790067,-0.06519765776995606,-0.053520289861673905,0.38154642513428216,0.5903948546432766,-0.1735437888991757,0.14494234989114924,-0.10575400362557733,-0.10535250926331301,-0.053475506765273365,0.36050947071439166,0.46765679817150263
acc_X_skewness,0.18859064195102848,0.024581342302352205,0.024895862687913134,0.0038863019822963523,-0.27363073606196875,-0.34269214424783523,1.0,0.08798966792201192,0.024460762013171915,0.024307783935633865,0.019741544113899206,-0.16112575081037583,-0.23514015935467608,-0.235894947939159,0.017764678576625347,0.037400870198594525,0.03735076627145226,0.02950292840337085,-0.132869098380639,-0.16276720321345356
acc_Y_mean,0.7952212608248275,0.8077050479418919,0.8104428019631769,0.7787754002261846,-0.18512359762645217,-0.05720604522344565,0.08798966792201192,1.0,0.8352252004532478,0.8465197479679336,0.8568797369048147,-0.16665859068969427,0.13641466453342663,0.25688242324000304,-0.008702994898215506,0.8035049752919788,0.8041815544727022,0.7948531465961968,-0.07461301909868064,0.22285717368366623
acc_Y_std,0.6229920543720622,0.919130190301725,0.9196885941742344,0.8604445261004116,-0.22217425162591262,-0.06456272790067,0.024460762013171915,0.8352252004532478,1.0,0.9996860945258458,0.9877134619291987,-0.18406357053629266,0.1664410659058267,0.22335393027514022,0.013370783659397726,0.9655340875324288,0.9656871182520126,0.9323907004103227,-0.04067088294924367,0.30288457804185726
acc_Y_rms,0.6309497664830905,0.9205631606118607,0.9212281833718462,0.8623557123783833,-0.22309596588000805,-0.06519765776995606,0.024307783935633865,0.8465197479679336,0.9996860945258458,1.0,0.9894217025108649,-0.1830939825933418,0.1659736205268871,0.22723113394813751,0.005618373265064647,0.9645094678950566,0.9646827223121004,0.9322199671421895,-0.03986860988325933,0.30263003743850725
