,CV
acc_X_skewness,120.00549508384314
Gyro_X_mean,76.0992814480658
Gyro_Z_skewness,25.60158232471306
Gyro_Z_mean,21.510742676447695
Gyro_X_skewness,14.289651444488246
Gyro_Y_mean,10.952267127148144
Gyro_Y_skewness,9.914457901984818
Gyro_X_peak,5.841627457122083
Gyro_X_std,5.598622440340424
Gyro_X_rms,5.340437383519583
acc_Z_skewness,4.632784136959118
acc_Y_mean,4.390325115180336
acc_X_mean,4.20717358089655
Gyro_Y_std,4.030950178438676
acc_Z_mean,3.958804536270074
acc_Y_skewness,3.907274252472892
Gyro_Y_rms,3.8095421390157687
Gyro_Y_peak,3.72399075893853
acc_X_kurtosis,2.051865296812215
acc_Y_std,1.5743125428129205
acc_Y_rms,1.5723325764422829
Gyro_Z_kurtosis,1.4595592614343622
acc_Y_peak,1.3925329920550131
acc_Sum_std,1.3740865601786632
Gyro_X_kurtosis,1.3485012380070651
acc_Sum_rms,1.1755030751694506
acc_Sum_mean,1.1083757419426523
acc_Sum_peak,1.0956798692396545
acc_Y_kurtosis,1.0924972178397327
Gyro_Y_kurtosis,1.0083817063828362
acc_Sum_kurtosis,0.964582519064885
acc_Z_std,0.934380311562647
acc_Z_rms,0.9298478552724007
acc_Z_peak,0.9159117957375168
acc_X_std,0.8478247334198838
acc_X_rms,0.8450499926967663
acc_X_peak,0.8321357481606653
acc_Z_kurtosis,0.7799515642643752
Gyro_Z_std,0.3795343271752637
acc_Sum_skewness,0.28999025445096566
Gyro_Z_rms,0.2865767188562691
Gyro_Z_peak,0.256197776023442
Gyro_Y_crest,0.21390669922919062
Gyro_X_crest,0.2037226341828845
acc_Y_crest,0.17444395976988383
acc_Sum_crest,0.1476779122914785
acc_Z_crest,0.13786340605145112
acc_X_crest,0.1364356479056387
Gyro_Z_crest,0.09848953906761232
