feature1,feature2,correlation
acc_X_std,acc_X_rms,0.999946872524867
acc_X_std,acc_X_peak,0.9697873897700983
acc_X_std,acc_Y_std,0.919130190301725
acc_X_std,acc_Y_rms,0.9205631606118607
acc_X_std,acc_Y_peak,0.9359935224152565
acc_X_std,acc_Z_std,0.9536918626042163
acc_X_std,acc_Z_rms,0.953846601252054
acc_X_std,acc_Z_peak,0.9699027481495606
acc_X_rms,acc_X_peak,0.97041318943615
acc_X_rms,acc_Y_std,0.9196885941742344
acc_X_rms,acc_Y_rms,0.9212281833718462
acc_X_rms,acc_Y_peak,0.9365678797260687
acc_X_rms,acc_Z_std,0.9536803785020801
acc_X_rms,acc_Z_rms,0.9538388145691267
acc_X_rms,acc_Z_peak,0.9700400423877616
acc_X_peak,acc_Z_peak,0.9389729350355897
acc_Y_std,acc_Y_rms,0.9996860945258458
acc_Y_std,acc_Y_peak,0.9877134619291987
acc_Y_std,acc_Z_std,0.9655340875324288
acc_Y_std,acc_Z_rms,0.9656871182520126
acc_Y_std,acc_Z_peak,0.9323907004103227
acc_Y_rms,acc_Y_peak,0.9894217025108649
acc_Y_rms,acc_Z_std,0.9645094678950566
acc_Y_rms,acc_Z_rms,0.9646827223121004
acc_Y_rms,acc_Z_peak,0.9322199671421895
acc_Y_peak,acc_Z_std,0.9665925761036511
acc_Y_peak,acc_Z_rms,0.9668482198585426
acc_Y_peak,acc_Z_peak,0.9461211732302715
acc_Z_std,acc_Z_rms,0.9999892902308446
acc_Z_std,acc_Z_peak,0.9810659261071825
acc_Z_rms,acc_Z_peak,0.9811144445902757
