feature,100W_mean,200W_mean,diff_pct,p_value
acc_X_mean,-0.0004308328305006127,0.010452284808049158,-104.12190098540786,8.874569219429031e-11
acc_X_std,0.10650867179090226,0.20939196568057877,-49.134308260242385,5.72358575016682e-26
acc_X_rms,0.10752471343973609,0.21079582709536548,-48.991061672633975,6.045994375788418e-26
acc_X_peak,0.4149744054963512,0.8108093140490333,-48.81972884301921,1.7436475400449295e-26
acc_X_crest,3.877237016052565,3.9066321687233154,-0.752442293034121,0.4627984692930974
acc_X_kurtosis,0.3293952202823388,0.40397974722104507,-18.462442103043337,0.17561003711273376
acc_X_skewness,-0.005026237723509029,0.0008052374114994521,-724.1932691812654,0.738639431764296
acc_Y_mean,-0.0005547898607047267,0.0346277015697582,-101.60215618003723,1.272259638039435e-09
acc_Y_std,0.12044493027375225,0.32668757296007545,-63.13146252169444,1.9185868055316564e-15
acc_Y_rms,0.12214694953227924,0.3335218845437265,-63.376631281817694,1.2446445063166964e-15
