window_id,label_binary,xgb_prob,acc_Y_rms,pred_xgb,pred_rms,pred_hybrid
100W_S08_CCW_R4_W0159,0,0.51648456,0.16560050146711114,1,0,0
100W_S08_CCW_R4_W0162,0,0.5108008,0.1658004039497296,1,0,0
200W_S18_CCW_R4_W0379,0,0.6178324,0.18959224650759843,1,0,0
200W_S19_CW_R4_W0412,0,0.5629275,0.19842472061198435,1,0,0
200W_S19_CW_R4_W0413,0,0.58034873,0.1973963319742624,1,0,0
200W_S19_CW_R4_W0416,0,0.5401238,0.19149556771092183,1,0,0
200W_S19_CW_R4_W0417,0,0.5464439,0.19503264161351994,1,0,0
200W_S05_CW_R4_W0550,0,0.5118732,0.18964055187271855,1,0,0
200W_S05_CW_R4_W0554,0,0.5666613,0.20220036077845,1,0,0
200W_S05_CW_R4_W0556,0,0.6198536,0.1757886149808372,1,0,0
200W_S05_CW_R4_W0558,0,0.5254384,0.20014574752649159,1,0,0
