window_id,label_binary,xgb_prob,acc_Y_rms,pred_xgb,pred_rms,pred_hybrid
100W_S00_CCW_R4_W0006,1,0.5632245,0.11601248221311013,1,1,1
100W_S00_CW_R4_W0013,1,0.48269847,0.1122264612719728,0,1,0
100W_S04_CCW_R4_W0074,0,0.49398348,0.08770966817465004,0,1,0
100W_S04_CCW_R4_W0075,0,0.40073997,0.10197403398168144,0,1,0
100W_S04_CCW_R4_W0076,0,0.49115625,0.11532315382371082,0,1,0
100W_S04_CCW_R4_W0077,0,0.47509366,0.0946795961966463,0,1,0
100W_S04_CCW_R4_W0078,0,0.4849984,0.10421794181349818,0,1,0
100W_S04_CCW_R4_W0079,0,0.4849984,0.11680751538510391,0,1,0
100W_S04_CCW_R4_W0080,0,0.60877305,0.09080993734258275,1,1,1
100W_S04_CCW_R4_W0081,0,0.38843188,0.10363177663511697,0,1,0
100W_S04_CCW_R4_W0082,0,0.48542786,0.11046509042655188,0,1,0
100W_S04_CCW_R4_W0083,0,0.47828755,0.10287463122684934,0,1,0
100W_S04_CW_R4_W0084,0,0.5118889,0.0850809267234833,1,1,1
100W_S04_CW_R4_W0085,0,0.48582667,0.10268777650503483,0,1,0
100W_S04_CW_R4_W0086,0,0.5915137,0.09468765862344664,1,1,1
100W_S04_CW_R4_W0087,0,0.6265628,0.08917550915070446,1,1,1
100W_S04_CW_R4_W0088,0,0.47828755,0.10155712420736945,0,1,0
100W_S04_CW_R4_W0089,0,0.6133307,0.09737788179328526,1,1,1
100W_S04_CW_R4_W0090,0,0.606961,0.09261750742922494,1,1,1
100W_S04_CW_R4_W0091,0,0.4724211,0.09402811178539289,0,1,0
100W_S04_CW_R4_W0092,0,0.61889434,0.10253467982777995,1,1,1
100W_S04_CW_R4_W0093,0,0.5233525,0.09655201940201975,1,1,1
100W_S06_CCW_R4_W0114,1,0.44906712,0.11382626267623143,0,1,0
100W_S06_CCW_R4_W0115,1,0.43983155,0.11542090392534556,0,1,0
100W_S06_CCW_R4_W0116,1,0.46891972,0.13079187410559964,0,1,0
100W_S06_CCW_R4_W0117,1,0.50948304,0.10815441521770057,1,1,1
100W_S06_CCW_R4_W0118,1,0.44468966,0.1189116090255421,0,1,0
100W_S06_CCW_R4_W0119,1,0.5375786,0.12783788733521897,1,1,1
100W_S06_CCW_R4_W0120,1,0.50948304,0.10744837309301304,1,1,1
100W_S06_CCW_R4_W0121,1,0.5130547,0.11856961817699853,1,1,1
100W_S06_CCW_R4_W0122,1,0.6481154,0.12173297942067957,1,1,1
100W_S06_CCW_R4_W0123,1,0.6481154,0.11822548644837716,1,1,1
100W_S08_CCW_R4_W0154,0,0.59523493,0.1315799859066113,1,1,1
100W_S08_CCW_R4_W0155,0,0.37698057,0.13975222835591597,0,1,0
100W_S08_CCW_R4_W0156,0,0.51805335,0.1499925860456889,1,1,1
100W_S08_CCW_R4_W0157,0,0.41468328,0.12987850101325846,0,1,0
100W_S08_CCW_R4_W0158,0,0.42357114,0.12644002813639996,0,1,0
100W_S08_CCW_R4_W0159,0,0.51648456,0.16560050146711114,1,0,0
100W_S08_CCW_R4_W0160,0,0.42140996,0.1358605776554931,0,1,0
100W_S08_CCW_R4_W0161,0,0.41648552,0.13706265250909902,0,1,0
100W_S08_CCW_R4_W0162,0,0.5108008,0.1658004039497296,1,0,0
100W_S08_CCW_R4_W0163,0,0.40737313,0.1316016307647923,0,1,0
100W_S10_CW_R4_W0205,0,0.5956462,0.09443184244384581,1,1,1
100W_S10_CW_R4_W0206,0,0.51700425,0.13819526270953256,1,1,1
100W_S10_CW_R4_W0207,0,0.42586514,0.12823480541577287,0,1,0
100W_S10_CW_R4_W0208,0,0.48807985,0.10492026681185611,0,1,0
