feature,product,normal_mean,abnormal_mean,ratio,normal_count,abnormal_count
acc_Y_rms_low,100W,0.03798178673782307,0.04456643217767026,1.1733632355238848,176,139
acc_Y_rms_low,200W,0.0374799187267083,0.07787583026700576,2.0778014710984745,189,182
acc_Y_rms_mid,100W,0.07821902225733873,0.07292736002423751,0.9323481414061687,176,139
acc_Y_rms_mid,200W,0.08755300722582521,0.16024197056307785,1.830228060011305,189,182
acc_Y_rms_high,100W,0.07089870625870544,0.0736663382098128,1.039036423894795,176,139
acc_Y_rms_high,200W,0.12216208668949884,0.39256756280560917,3.2134975215625112,189,182
acc_Sum_rms_low,100W,0.03072616595227778,0.03185458451649357,1.0367250038930462,176,139
acc_Sum_rms_low,200W,0.04051895063867863,0.07792021254137349,1.9230560346000747,189,182
acc_Sum_rms_mid,100W,0.056996343956324316,0.05895195328528267,1.0343111363503756,176,139
acc_Sum_rms_mid,200W,0.08387032873310919,0.09959420294832927,1.1874783901855963,189,182
acc_Sum_rms_high,100W,0.050802247928503214,0.05062708531979584,0.9965520697242789,176,139
acc_Sum_rms_high,200W,0.07604237800630562,0.1418762167638761,1.865751972566026,189,182
Gyro_Y_rms_low,100W,0.01071482078174632,0.010761677025008477,1.0043730309835868,176,139
Gyro_Y_rms_low,200W,0.010779472480839183,0.03141832573519367,2.9146440877362627,189,182
Gyro_Y_rms_mid,100W,0.0034263115954793603,0.0031841496881264957,0.9293228591140483,176,139
Gyro_Y_rms_mid,200W,0.0037361662625415267,0.010723251041528385,2.870121479613676,189,182
Gyro_Y_rms_high,100W,0.001307261992198769,0.001229254224826467,0.9403273652582099,176,139
Gyro_Y_rms_high,200W,0.0014927626556868322,0.004221507447432391,2.8279830228537173,189,182
