product,threshold,abnormal_precision,abnormal_recall,normal_recall
100W,0.05,1.0,0.975609756097561,1.0
100W,0.08,1.0,0.8048780487804879,1.0
100W,0.1,1.0,0.8048780487804879,1.0
100W,0.12,1.0,0.8048780487804879,1.0
100W,0.15,1.0,0.8048780487804879,1.0
100W,0.2,1.0,0.8048780487804879,1.0
100W,0.25,1.0,0.8048780487804879,1.0
100W,0.3,1.0,0.8048780487804879,1.0
200W,0.05,0.9591836734693877,1.0,0.0
200W,0.08,0.9591836734693877,1.0,0.0
200W,0.1,0.9591836734693877,1.0,0.0
200W,0.12,0.9591836734693877,1.0,0.0
200W,0.15,0.9591836734693877,1.0,0.0
200W,0.2,0.9591836734693877,1.0,0.0
200W,0.25,0.9591836734693877,1.0,0.0
200W,0.3,0.9591836734693877,1.0,0.0
